Page 1: a detailed scan of a manga panel showing a man staring at the camera with dominant gray, pink and green colors
Page 2: a detailed scan of a manga panel showing a man in a blue suit with dominant gray, pink and green colors
Page 3: a detailed scan of a manga panel showing a man and a woman with dominant gray, pink and green colors
Page 4: a detailed scan of a manga panel showing a man with a knife in his hand with dominant gray, pink and green colors
Page 5: a detailed scan of a manga panel showing a man flying through the air with dominant gray, pink and green colors
Page 6: a detailed scan of a manga panel showing a man in a green jacket with dominant gray, pink and green colors
Page 7: a detailed scan of a manga panel showing a man ' s face in the middle of the page with dominant gray, pink and green colors
Page 8: a detailed scan of a manga panel showing a man flying through the air with dominant gray, pink and green colors
Page 9: a detailed scan of a manga panel showing a woman with her hands on her head with dominant gray, pink and green colors
Page 10: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and green colors
Page 11: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and green colors
Page 12: a detailed scan of a manga panel showing a blue and white background with the words, they ' re armed with axes, spears, snoozers with dominant gray, pink and green colors
Page 13: a detailed scan of a manga panel showing a woman swimming in the water with dominant gray, pink and green colors
Page 14: a detailed scan of a manga panel showing how it looks like with dominant gray, pink and green colors
Page 15: a detailed scan of a manga panel showing a man and a woman sitting on a bed with dominant gray, pink and green colors
Page 16: a detailed scan of a manga panel showing a man flying through the air with dominant gray, pink and green colors
Page 17: a detailed scan of a manga panel showing a man sitting on the ground with his head in his hands with dominant gray, pink and green colors
Page 18: a detailed scan of a manga panel showing a woman in a blue dress with dominant gray, pink and green colors
Page 19: a detailed scan of a manga panel showing a man and a woman in the water with dominant gray, pink and green colors
Page 20: a detailed scan of a manga panel showing a woman and a man staring at each other with dominant gray, pink and green colors
Page 21: a detailed scan of a manga panel showing a woman and a man in the water with dominant gray, pink and green colors
Page 22: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and green colors
Page 23: a detailed scan of a manga panel showing a man swinging a tennis racket with dominant gray and pink colors
Page 24: a detailed scan of a manga panel showing a plane flying over the ocean with dominant gray, pink and green colors
Page 25: a detailed scan of a manga panel showing a man and a woman in bed with dominant gray, pink and green colors
Page 26: a detailed scan of a manga panel showing a woman hugging a man with dominant purple, green and gray colors
Page 27: a detailed scan of a manga panel showing a man ' s face and mouth with dominant gray, pink and green colors
Page 28: a detailed scan of a manga panel showing the different stages of the scene with dominant gray, pink and purple colors
Page 29: a detailed scan of a manga panel showing a woman with long hair and blue eyes with dominant gray, pink and green colors
Page 30: a detailed scan of a manga panel showing a woman ' s face in the middle of the page with dominant gray, pink and green colors
Page 31: a detailed scan of a manga panel showing a plane flying in the sky with dominant gray, pink and green colors
Page 32: a detailed scan of a manga panel showing a woman flying through the air with dominant gray, pink and green colors
Page 33: a detailed scan of a manga panel showing a woman lying on a bed with dominant gray, pink and green colors
Page 34: a detailed scan of a manga panel showing a woman standing on a skateboard with dominant gray and green colors
Page 35: a detailed scan of a manga panel showing the title for solo leveling with dominant gray, pink and green colors
